               nPars     AIC delta  AICwt cumltvWt
fit_hum           12 2238.72  0.00 0.2889     0.29
fit_imperv        12 2239.15  0.43 0.2330     0.52
fit_WVF_dist      12 2239.25  0.53 0.2220     0.74
fit_POP_mean      12 2241.01  2.29 0.0918     0.84
fit_Fdec_PA       12 2241.93  3.21 0.0581     0.89
fit_POP_median    12 2242.67  3.95 0.0402     0.93
fit_null          11 2243.90  5.18 0.0216     0.96
fit_Fcon_PA       12 2244.82  6.10 0.0137     0.97
fit_LFT_dist      12 2244.88  6.16 0.0133     0.98
fit_Fmix_PA       12 2245.62  6.90 0.0092     0.99
fit_WVF_PA        12 2245.83  7.11 0.0083     1.00
